title,images,serviceCategory,type,description,price,stateAbbreviation,city,phoneNumber,averageRating,numberOfReviews
Must Coiffure - Rabat Agdal,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/must_coiffure_-_rabat_agdal/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/must_coiffure_-_rabat_agdal/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/must_coiffure_-_rabat_agdal/image_3.jpg']",Esthetician,Hair Salon,Expert hair and beauty services in a stylish setting.,200,RAB,Rabat,· +212 5376-74590,4.8,141
Salon EMPREINTE,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_empreinte/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_empreinte/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_empreinte/image_3.jpg']",Esthetician,Esthetician Services,Expert esthetician services for radiant skin and personalized beauty treatments.,200,CAS,Casablanca,· +212 5228-30022,3.3,6
Coloration 100% végétale Casablanca : Les Fées Naturelles,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coloration_100__v_g_tale_casablanca___les_f_es_naturelles/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coloration_100__v_g_tale_casablanca___les_f_es_naturelles/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coloration_100__v_g_tale_casablanca___les_f_es_naturelles/image_3.jpg']",Esthetician,Hair Coloring,"Experience 100% natural hair coloring for vibrant, lasting results in a welcoming atmosphere.",200,CAS,Casablanca,· +212 5222-88641,4.5,141
"ELNY:Boutique,Salon de Coiffure et Esthétique.","['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/elny_boutique_salon_de_coiffure_et_esth_tique_/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/elny_boutique_salon_de_coiffure_et_esth_tique_/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/elny_boutique_salon_de_coiffure_et_esth_tique_/image_3.jpg']",Esthetician,Beauty Salon,Chic boutique offering hair styling and beauty treatments in a relaxing atmosphere.,200,CAS,Casablanca,· +212 619-740741,4.6,101
New Look - Hair Studio,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/new_look_-_hair_studio/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/new_look_-_hair_studio/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/new_look_-_hair_studio/image_3.jpg']",Esthetician,Hair Salon,Transform your look with expert hair styling and personalized care.,200,,,· +212 699-686089,3.3,82
Expert Barber -Marjane Menara- Salon de Coiffure H&F,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/expert_barber_-marjane_menara-_salon_de_coiffure_h_f/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/expert_barber_-marjane_menara-_salon_de_coiffure_h_f/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/expert_barber_-marjane_menara-_salon_de_coiffure_h_f/image_3.jpg']",Esthetician,Barber Shop,Skilled barber offering stylish cuts and grooming at Salon de Coiffure H&F.,200,,,· +212 662-204845,4.9,48
BITA Mode - Salon de coiffure & d'esthétique - Coupes de cheveux - Lissages - Extensions - Colorations - Soins capillaires,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bita_mode_-_salon_de_coiffure___d_esth_tique_-_coupes_de_cheveux_-_lissages_-_extensions_-_colorations_-_soins_capillaires/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bita_mode_-_salon_de_coiffure___d_esth_tique_-_coupes_de_cheveux_-_lissages_-_extensions_-_colorations_-_soins_capillaires/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/bita_mode_-_salon_de_coiffure___d_esth_tique_-_coupes_de_cheveux_-_lissages_-_extensions_-_colorations_-_soins_capillaires/image_3.jpg']",Esthetician,Hair and Aesthetic Salon,"Expert salon offering haircuts, color, and aesthetic treatments for all your beauty needs.",200,CAS,Casablanca,· +212 520-285925,4.8,91
LE PREMIER,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_premier/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_premier/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_premier/image_3.jpg']",Esthetician,Esthetician,Expert esthetician services offering skincare treatments for a radiant complexion.,200,CAS,Casablanca,· +212 5222-54624,3.8,71
Fade O’clock,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/fade_o_clock/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/fade_o_clock/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/fade_o_clock/image_3.jpg']",Esthetician,Haircutting Services,Expert fade styles tailored to enhance your unique look.,200,CAS,Casablanca,· +212 676-359041,3.9,65
𝐏𝐞𝐫𝐟𝐞𝐜𝐭 𝐁𝐞𝐚𝐮𝐭𝐲 𝐇𝐨𝐮𝐬𝐞 - 𝐂𝐚𝐬𝐚𝐛𝐥𝐚𝐧𝐜𝐚-𝐒𝐚𝐥𝐨𝐧 𝐝𝐞 𝐛𝐞𝐚𝐮𝐭é - 𝐒𝐨𝐢𝐧 𝐇𝐲𝐝𝐫𝐚𝐟𝐚𝐜𝐢𝐚𝐥 - 𝐂𝐨𝐢𝐟𝐟𝐮𝐫𝐞 - 𝐎𝐧𝐠𝐥𝐞𝐫𝐢𝐞 - 𝐋𝐢𝐬𝐬𝐚𝐠𝐞 𝐜𝐡𝐞𝐯𝐞u𝐱 -𝐄𝐩𝐢𝐥𝐚𝐭𝐢𝐨𝐧,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/_____________________-___________-________________-__________________-__________-__________-______________u__-_________/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/_____________________-___________-________________-__________________-__________-__________-______________u__-_________/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/_____________________-___________-________________-__________________-__________-__________-______________u__-_________/image_3.jpg']",Esthetician,Beauty Salon,"Experience premium beauty treatments, including hydrafacial, styling, and waxing services in a serene salon.",200,CAS,Casablanca,· +212 643-826176,4.3,92
Capillary Barber,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/capillary_barber/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/capillary_barber/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/capillary_barber/image_3.jpg']",Esthetician,Hair Care Service,"Expert capillary treatments for healthy, beautiful hair tailored to your needs.",200,CAS,Casablanca,· +212 620-000300,4.5,58
Feorella Coiffure,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/feorella_coiffure/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/feorella_coiffure/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/feorella_coiffure/image_3.jpg']",Esthetician,Skincare and Beauty,"Expert esthetician services for skincare, makeup, and relaxation.",200,CAS,Casablanca,· +212 667-167565,3.3,52
David Coiffeur Hairdresser,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/david_coiffeur_hairdresser/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/david_coiffeur_hairdresser/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/david_coiffeur_hairdresser/image_3.jpg']",Esthetician,Hair Salon,Expert hairdressing services providing stylish cuts and colors tailored to your needs.,200,,,· +212 661-333027,4.1,46
Truman's Barbershop and Spa Ain Diab,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/truman_s_barbershop_and_spa_ain_diab/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/truman_s_barbershop_and_spa_ain_diab/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/truman_s_barbershop_and_spa_ain_diab/image_3.jpg']",Esthetician,Barbershop and Spa,Relaxing spa and grooming services for a refreshing experience in Ain Diab.,200,CAS,Casablanca,· +212 5227-97039,3.7,101
Ayoub Hair Studio,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/ayoub_hair_studio/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/ayoub_hair_studio/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/ayoub_hair_studio/image_3.jpg']",Esthetician,Hair and Beauty Studio,Experience personalized hair and beauty treatments in a relaxing atmosphere.,200,RAB,Rabat,· +212 5377-77711,4.7,30
Le Bar à Brushing,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_bar___brushing/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_bar___brushing/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_bar___brushing/image_3.jpg']",Esthetician,Hair Salon,Expert styling and hair brushing services for a polished look.,200,,,· +212 664-130241,4.2,102
Sabri star barbershop,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/sabri_star_barbershop/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/sabri_star_barbershop/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/sabri_star_barbershop/image_3.jpg']",Esthetician,Barbershop,Expert haircuts and grooming services in a welcoming atmosphere.,200,CAS,Casablanca,· +212 520-567714,5.0,135
Manhattan Beauty salon,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/manhattan_beauty_salon/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/manhattan_beauty_salon/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/manhattan_beauty_salon/image_3.jpg']",Esthetician,Beauty Salon,Experience top-notch skincare and beauty treatments in a serene Manhattan setting.,200,CAS,Casablanca,· +212 639-509491,4.5,7
Salon panorama 1,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_panorama_1/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_panorama_1/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_panorama_1/image_3.jpg']",Esthetician,Esthetician,Experience rejuvenating skincare and beauty treatments at Salon Panorama 1.,200,CAS,Casablanca,· +212 5225-05272,3.4,24
Salon Art' Tiff,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_art__tiff/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_art__tiff/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_art__tiff/image_3.jpg']",Esthetician,Esthetician,Transform your look with expert esthetician services at Salon Art Tiff.,200,CAS,Casablanca,· +212 5222-34161,4.4,93
MousBarber,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mousbarber/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mousbarber/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mousbarber/image_3.jpg']",Esthetician,Pet Grooming,"Expert grooming services for your beloved pet, ensuring a stylish and healthy look.",200,CAS,Casablanca,· +212 657-230819,3.4,14
Salon de coiffure Ladiva beauty marrakech,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_ladiva_beauty_marrakech/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_ladiva_beauty_marrakech/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_ladiva_beauty_marrakech/image_3.jpg']",Esthetician,Hair Salon,Expert hairstyling and beauty services to enhance your look at Ladiva in Marrakech.,200,,,· +212 619-437262,3.7,54
Coiffure Housni,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_housni/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_housni/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffure_housni/image_3.jpg']",Esthetician,Hair Salon,Expert hairdressing services with a focus on beauty and style.,200,CAS,Casablanca,· +212 5222-15477,3.2,10
BEAUTE MÈCHE & SILHOUETTE,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beaute_m_che___silhouette/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beaute_m_che___silhouette/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beaute_m_che___silhouette/image_3.jpg']",Esthetician,Hair and Beauty Services,Expert hair coloring and silhouette styling for a stunning look.,200,CAS,Casablanca,· +212 662-131995,3.5,117
Naturally Siham,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/naturally_siham/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/naturally_siham/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/naturally_siham/image_3.jpg']",Esthetician,Skincare Services,Expert esthetician offering natural skincare treatments tailored to enhance your beauty and well-being.,200,,,· +212 627-903786,3.5,35
Académie du Lissage by Organic Hair & Beauty,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/acad_mie_du_lissage_by_organic_hair___beauty/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/acad_mie_du_lissage_by_organic_hair___beauty/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/acad_mie_du_lissage_by_organic_hair___beauty/image_3.jpg']",Esthetician,Hair Treatment,Expert hair smoothing treatments for a sleek and polished look.,200,CAS,Casablanca,· +212 679-546673,4.8,40
Le Boudoir Marrakech Majorelle,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_boudoir_marrakech_majorelle/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_boudoir_marrakech_majorelle/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_boudoir_marrakech_majorelle/image_3.jpg']",Esthetician,Spa,Experience luxurious beauty treatments and rejuvenating skincare in a serene Moroccan setting.,200,,,· +212 5244-48063,3.5,35
Salon de coiffure et esthétique à Casablanca L'ambassade,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_et_esth_tique___casablanca_l_ambassade/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_et_esth_tique___casablanca_l_ambassade/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_et_esth_tique___casablanca_l_ambassade/image_3.jpg']",Esthetician,Hair and Beauty Salon,Expert hair and beauty services in the heart of Casablanca.,200,CAS,Casablanca,· +212 5228-65556,4.6,7
CHRISTIAN GILLES,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/christian_gilles/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/christian_gilles/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/christian_gilles/image_3.jpg']",Esthetician,Skincare Services,Expert esthetician offering personalized skincare treatments in a relaxing environment.,200,,,· +212 5244-49426,3.8,24
Shiny Racine Salon,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/shiny_racine_salon/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/shiny_racine_salon/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/shiny_racine_salon/image_3.jpg']",Esthetician,Skincare,Expert esthetician services focused on skincare and beauty treatments for a radiant glow.,200,CAS,Casablanca,· +212 661-301931,3.8,81
Salon golden hair faissal,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_golden_hair_faissal/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_golden_hair_faissal/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_golden_hair_faissal/image_3.jpg']",Esthetician,Hair Salon,Expert esthetician services specializing in hair styling and beauty treatments.,200,MAR,Safi,· +212 661-683111,4.0,94
Coiffeur Marrakech médina,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_marrakech_m_dina/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_marrakech_m_dina/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_marrakech_m_dina/image_3.jpg']",Esthetician,Hair Salon,Expert hair styling and beauty services in the heart of the Marrakech medina.,200,,,· +212 668-600021,3.7,143
The 99 Barbershop Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_99_barbershop_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_99_barbershop_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/the_99_barbershop_casablanca/image_3.jpg']",Esthetician,Barbershop,Expert barbers providing stylish haircuts and grooming services in a comfortable atmosphere.,200,CAS,Casablanca,· +212 5229-40650,4.0,53
Manhattan Studio,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/manhattan_studio/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/manhattan_studio/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/manhattan_studio/image_3.jpg']",Esthetician,Spa Services,Expert skin treatments and personalized care to enhance your natural beauty.,200,CAS,Casablanca,· +212 674-371904,4.0,51
Salon De Coiffure Ciseau D'Or -chez IBRAHIM,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_ciseau_d_or_-chez_ibrahim/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_ciseau_d_or_-chez_ibrahim/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_de_coiffure_ciseau_d_or_-chez_ibrahim/image_3.jpg']",Esthetician,Hair Salon,Expert hair and beauty services in a welcoming atmosphere.,200,,,· +212 618-551611,3.2,107
KHMISSA - Salon de Coiffure & Beauté Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/khmissa_-_salon_de_coiffure___beaut__casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/khmissa_-_salon_de_coiffure___beaut__casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/khmissa_-_salon_de_coiffure___beaut__casablanca/image_3.jpg']",Esthetician,Salon,Experience top-notch hair and beauty services in a stylish atmosphere.,200,CAS,Casablanca,· +212 5223-97667,4.5,146
Salon Osaka (Coiffure Esthetique,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_osaka__coiffure_esthetique/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_osaka__coiffure_esthetique/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_osaka__coiffure_esthetique/image_3.jpg']",Esthetician,Beauty Salon,Experience revitalizing beauty treatments and expert hair services at Salon Osaka.,200,CAS,Casablanca,· +212 5229-40333,3.0,142
Mood salon de coiffure,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mood_salon_de_coiffure/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mood_salon_de_coiffure/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/mood_salon_de_coiffure/image_3.jpg']",Esthetician,Hair Salon,A chic salon offering stylish haircuts and personalized beauty treatments.,200,CAS,Casablanca,· +212 611-967426,3.2,9
Hair Innovation,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/hair_innovation/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/hair_innovation/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/hair_innovation/image_3.jpg']",Esthetician,Hair Salon,Expert hair treatments and innovative styles tailored to enhance your beauty.,200,,,· +212 661-054855,3.6,137
Maison SB,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/maison_sb/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/maison_sb/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/maison_sb/image_3.jpg']",Esthetician,Esthetician,Expert esthetician services focused on enhancing beauty and relaxation in a serene environment.,200,CAS,Casablanca,· +212 5222-50240,4.4,65
Salon redouane Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_redouane_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_redouane_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_redouane_casablanca/image_3.jpg']",Esthetician,Beauty Salon,Expert esthetician services for rejuvenating beauty treatments in a soothing ambiance.,200,CAS,Casablanca,· +212 653-910392,3.1,117
113 atelier de coiffure Barber shop homme et femme,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/113_atelier_de_coiffure_barber_shop_homme_et_femme/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/113_atelier_de_coiffure_barber_shop_homme_et_femme/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/113_atelier_de_coiffure_barber_shop_homme_et_femme/image_3.jpg']",Esthetician,Barber Shop,Expert barbering and hairstyling for both men and women in a stylish atmosphere.,200,,,· +212 679-095892,4.6,118
Beauty Mirror,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_mirror/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_mirror/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/beauty_mirror/image_3.jpg']",Esthetician,Esthetician Service,Enhance your beauty with expert mirror consultations and aesthetic treatments.,200,CAS,Casablanca,· +212 609-815053,3.9,115
Duo By Noor,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/duo_by_noor/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/duo_by_noor/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/duo_by_noor/image_3.jpg']",Esthetician,Skincare,Expert esthetician services offering personalized skincare and beauty treatments for glowing skin.,200,CAS,Casablanca,· +212 5229-51705,3.1,127
Karppes Center,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/karppes_center/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/karppes_center/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/karppes_center/image_3.jpg']",Esthetician,Esthetician Services,Revitalize your skin with our expert esthetician services at Karppes Center.,200,CAS,Casablanca,· +212 662-135750,4.2,146
Salon Panorama 2,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_panorama_2/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_panorama_2/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_panorama_2/image_3.jpg']",Esthetician,Skin Care,Expert esthetician services for radiant skin and rejuvenation.,200,CAS,Casablanca,· +212 5222-17171,3.3,111
Le 7 Sept Maison de beauté,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_7_sept_maison_de_beaut_/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_7_sept_maison_de_beaut_/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_7_sept_maison_de_beaut_/image_3.jpg']",Esthetician,Beauty Salon,Relax and rejuvenate with expert beauty treatments in a serene atmosphere.,200,CAS,Casablanca,· +212 8086-99265,3.1,51
Salon Reda Officiel,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_reda_officiel/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_reda_officiel/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_reda_officiel/image_3.jpg']",Esthetician,Spa and Esthetician Services,Expert esthetician services for radiant skin and relaxation.,200,CAS,Casablanca,· +212 644-273335,3.8,129
Le Bar a lissage casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_bar_a_lissage_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_bar_a_lissage_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/le_bar_a_lissage_casablanca/image_3.jpg']",Esthetician,Hair Smoothing Service,Expert hair smoothing and treatment services in a welcoming atmosphere.,200,CAS,Casablanca,· +212 5228-06363,4.7,90
L'Institut Casablanca,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/l_institut_casablanca/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/l_institut_casablanca/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/l_institut_casablanca/image_3.jpg']",Esthetician,Esthetician,Expert esthetician services offering facial treatments and skincare solutions in a serene environment.,200,CAS,Casablanca,nan,4.1,20
Barber Espresso,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_espresso/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_espresso/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/barber_espresso/image_3.jpg']",Esthetician,Barber Shop,Expert barbers offering precision haircuts and premium espresso drinks in a stylish atmosphere.,200,,,· +212 780-910510,4.5,132
Coiffeur Tarik,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_tarik/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_tarik/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/coiffeur_tarik/image_3.jpg']",Esthetician,Hair Salon,Expert hairstyling and grooming services to enhance your natural beauty.,200,CAS,Casablanca,+212 772-727224,4.3,146
Salon Chaouqi,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_chaouqi/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_chaouqi/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_chaouqi/image_3.jpg']",Esthetician,Skincare Services,Expert esthetician services focusing on skincare and beauty treatments.,200,CAS,Casablanca,· +212 5222-53843,4.9,148
لباف,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/____/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/____/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/____/image_3.jpg']",Esthetician,Esthetician,Expert esthetician services for all your skincare and beauty needs.,200,,,· +212 640-046602,3.8,71
Salon Taslite,"['https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_taslite/image_1.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_taslite/image_2.jpg', 'https://serrbi-main-file-bucket.s3.amazonaws.com/services/images/salon_taslite/image_3.jpg']",Esthetician,Esthetician Services,Expert esthetician services for radiant skin and rejuvenating treatments.,200,CAS,Casablanca,· +212 5228-50303,4.3,66
